Part Number,Hang,Skid,Revision Number
SPI-01681-012-PTB,False,"",05
SPI-01681-012-S,False,"",05
SPI-01681-012-SUN,False,"",05
SPI-01681-013,False,"",03
SPI-01681-013-P,False,"",03
SPI-01681-013-S,False,"",03
SPI-01681-013-SUN,False,"",03
SPI-01681-014,False,"",04
SPI-01681-014-CES,False,"",04
SPI-01681-014-P,False,"",04
SPI-01681-014-PTB,False,False,04
SPI-01681-014-S,False,"",04
SPI-01681-014-SUN,False,"",04
SPI-01681-020,False,"",06
SPI-01681-020-CES,False,"",06
SPI-01681-020-P,False,"",06
SPI-01681-020-PTB,False,False,06
SPI-01681-020-S,False,"",06
SPI-01681-020-SUN,False,"",06
SPI-01681-022,False,"",00
SPI-01681-022-P,False,"",00
SPI-01681-022-PB,False,"",00
SPI-01681-022-S,False,"",00
SPI-01681-022-SUN,False,"",00
SPI-01681-023,False,"",00
SPI-01681-023-CES,False,"",00
SPI-01681-023-P,False,"",00
SPI-01681-023-PTB,False,"",00
SPI-01681-023-S,False,"",00
SPI-01681-023-SUN,False,"",00
SPI-01900104 0285,False,"",02
SPI-01900104 0285G,False,"",02
SPI-01900104 0285GRAY,False,"",02
SPI-01900104 0285GT,False,"",02
SPI-01900104 0285OT,False,"",02
SPI-01900104 0285RG,False,"",02
SPI-01900104 0285W,False,"",02
SPI-01900104 0285WM,False,"",02
SPI-01900104 0288,False,"",01
SPI-01900104-0285,"",False,""
SPI-01900216 0383,False,"",01
SPI-01900216 0603,False,"",02
SPI-01900216 0607,False,False,02
SPI-01900216 0608,False,"",01
SPI-01900216 0610,False,"",01
SPI-01900216 0616,False,"",00
SPI-01900216 0618,False,"",00
SPI-01900216 0619,False,"",02
SPI-01900216 0620,False,"",01
SPI-01900216 0621,False,"",01
SPI-01900216 0623,False,"",03
SPI-01900216 0627,False,"",05
SPI-01900216 0628,False,"",03
SPI-01900216 0629,False,"",03
SPI-01900216 0630,False,"",01
SPI-01900216 0632,False,"",03
SPI-01900216 0636,False,"",00
SPI-01900216 0637,False,"",00
SPI-01900216 0639,False,"",00
