ID,SO
479,40159
480,40157
481,40155
482,40149
483,40148
484,40147
485,40146
486,40145
487,40144
488,40140
489,40134
490,40133
491,40132
492,40131
493,40130
494,40129
495,40128
496,40127
497,40125
498,40123
499,40122
500,40121
501,40120
502,40118
503,40117
504,40116
505,40115
506,40114
507,40113
508,40112
509,40111
510,40110
511,40109
512,40108
513,40107
514,40106
515,40105
516,40104
517,40103
518,40102
519,40101
520,40100
521,40099
522,40098
523,40097
524,40096
525,40095
526,40094
527,40093
528,40092
529,40091
530,40090
531,40089
532,40088
533,40087
534,40086
535,40085
536,40084
537,40083
538,40082
539,40081
540,40080
541,40079
542,40078
543,40077
544,40076
545,40075
546,40074
547,40072
548,40071
549,40070
550,40063
551,40062
552,40056
553,40054
554,40053
555,40052
556,40051
557,40036
558,40035
559,40034
560,40032
561,40031
562,40029
563,39994
564,39989
565,39985
566,39980
567,39968
568,39967
569,39963
570,39962
571,39960
572,39950
573,39949
574,39947
575,39946
576,39945
577,39941
578,39939
579,39935
580,39933
581,39932
582,39931
583,39929
584,39929
585,39928
586,39924
587,39911
588,39907
589,39906
590,39905
591,39904
592,39902
593,39900
594,39887
595,39726
596,39386
597,42039
598,42052
599,42057
600,42065
601,42067
602,42068
603,42085
604,42086
605,42089
606,42096
607,42097
608,42098
609,42099
610,42103
611,42102
612,42100
613,42051
614,42109
615,42110
616,42115
617,42116
618,42117
619,42134
620,42135
621,42137
622,42147
623,42160
624,42168
625,42159
626,42161
627,42162
628,42163
629,42164
630,42165
631,42170
632,42181
633,42158
634,42187
635,42182
636,42188
637,42220
638,42221
639,42222
640,42225
641,41450
642,42223
643,42226
644,42227
645,42237
646,42219
647,42224
648,42239
649,42240
650,42241
651,42193
652,42247
653,42248
654,42250
655,42251
656,42249
657,42257
658,42258
659,42260
660,42261
661,42262
662,42264
663,42265
664,42266
665,42267
666,42269
667,42272
668,42273
669,42275
670,42276
671,42281
672,42278
673,42282
674,42283
675,42284
676,42286
677,42287
678,42288
679,42289
680,42290
681,42285
682,42242
683,42246
684,42294
685,42295
686,42296
687,42297
688,42304
689,42306
690,42307
691,42238
692,42298
693,42299
694,42300
695,42327
696,42330
697,42331
698,42335
699,42326
700,42339
701,42316
702,42318
703,42324
704,42325
705,42332
706,42336
707,42338
708,42208
709,42301
710,42357
711,42359
712,42360
713,42341
714,42340
715,42344
716,42356
717,42337
718,42365
719,42376
720,42379
721,42382
722,42401
723,42402
724,42427
725,42358
